heliost_number,n.s,azimut_angle,x,y,power,net_power
5615,0.960546,28.0373,-45,-84.5,612.412,2.85356e+06
5616,0.734423,28.8238,46.5,-84.5,468.244,2.85403e+06
5617,0.962228,28.8238,-46.5,-84.5,613.484,2.85465e+06
5618,0.730003,29.5986,48,-84.5,465.425,2.85511e+06
5619,0.963843,29.5986,-48,-84.5,614.514,2.85573e+06
5620,0.725616,30.3617,49.5,-84.5,462.628,2.85619e+06
5621,0.965394,30.3617,-49.5,-84.5,615.503,2.8568e+06
5622,0.721265,31.1131,51,-84.5,459.854,2.85726e+06
5623,0.966882,31.1131,-51,-84.5,616.451,2.85788e+06
5624,0.716951,31.8528,52.5,-84.5,457.104,2.85834e+06
5625,0.968308,31.8528,-52.5,-84.5,617.361,2.85895e+06
5626,0.712675,32.5807,54,-84.5,454.378,2.85941e+06
5627,0.969675,32.5807,-54,-84.5,618.233,2.86003e+06
5628,0.708439,33.2971,55.5,-84.5,451.677,2.86048e+06
5629,0.970985,33.2971,-55.5,-84.5,619.067,2.8611e+06
5630,0.704244,34.0019,57,-84.5,449.002,2.86155e+06
5631,0.972238,34.0019,-57,-84.5,619.866,2.86217e+06
5632,0.700091,34.6952,58.5,-84.5,446.354,2.86261e+06
5633,0.973437,34.6952,-58.5,-84.5,620.63,2.86323e+06
5634,0.69598,35.377,60,-84.5,443.734,2.86368e+06
5635,0.974583,35.377,-60,-84.5,621.361,2.8643e+06
5636,0.691913,36.0475,61.5,-84.5,441.141,2.86474e+06
5637,0.975678,36.0475,-61.5,-84.5,622.059,2.86536e+06
5638,0.68789,36.7068,63,-84.5,438.576,2.8658e+06
5639,0.976724,36.7068,-63,-84.5,622.726,2.86642e+06
5640,0.683913,37.355,64.5,-84.5,436.04,2.86686e+06
5641,0.977722,37.355,-64.5,-84.5,623.363,2.86748e+06
5642,0.67998,37.9922,66,-84.5,433.533,2.86792e+06
5643,0.978674,37.9922,-66,-84.5,623.97,2.86854e+06
5644,0.676094,38.6184,67.5,-84.5,431.055,2.86897e+06
5645,0.979582,38.6184,-67.5,-84.5,624.549,2.8696e+06
5646,0.672253,39.234,69,-84.5,428.606,2.87002e+06
5647,0.980447,39.234,-69,-84.5,625.1,2.87065e+06
5648,0.66846,39.8389,70.5,-84.5,426.188,2.87108e+06
5649,0.981271,39.8389,-70.5,-84.5,625.626,2.8717e+06
5650,0.664713,40.4334,72,-84.5,423.799,2.87212e+06
5651,0.982055,40.4334,-72,-84.5,626.126,2.87275e+06
5652,0.661013,41.0175,73.5,-84.5,421.44,2.87317e+06
5653,0.982801,41.0175,-73.5,-84.5,626.601,2.8738e+06
5654,0.65736,41.5914,75,-84.5,419.111,2.87422e+06
5655,0.98351,41.5914,-75,-84.5,627.053,2.87484e+06
5656,0.873751,0,0,-86,557.074,2.8754e+06
5657,0.869741,0.999168,1.5,-86,554.517,2.87596e+06
5658,0.877699,0.999168,-1.5,-86,559.592,2.87652e+06
5659,0.865672,1.99782,3,-86,551.923,2.87707e+06
5660,0.881583,1.99782,-3,-86,562.068,2.87763e+06
5661,0.861546,2.99532,4.5,-86,549.293,2.87818e+06
5662,0.885401,2.99532,-4.5,-86,564.502,2.87874e+06
5663,0.857368,3.99091,6,-86,546.629,2.87929e+06
5664,0.88915,3.99091,-6,-86,566.893,2.87986e+06
5665,0.85314,4.98413,7.5,-86,543.933,2.8804e+06
5666,0.892829,4.98413,-7.5,-86,569.238,2.88097e+06
5667,0.848864,5.97435,9,-86,541.207,2.88151e+06
5668,0.896434,5.97435,-9,-86,571.537,2.88208e+06
5669,0.844545,6.96097,10.5,-86,538.453,2.88262e+06
