heliost_number,n.s,azimut_angle,x,y,power,net_power
6416,0.923242,22.7673,40.5,-96.5,802.709,5.04762e+06
6417,0.923242,22.7673,-40.5,-96.5,802.709,5.04842e+06
6418,0.92221,23.5203,42,-96.5,801.811,5.04922e+06
6419,0.92221,23.5203,-42,-96.5,801.811,5.05002e+06
6420,0.921157,24.2648,43.5,-96.5,800.895,5.05082e+06
6421,0.921157,24.2648,-43.5,-96.5,800.895,5.05163e+06
6422,0.920083,25.0006,45,-96.5,799.962,5.05243e+06
6423,0.920083,25.0006,-45,-96.5,799.962,5.05323e+06
6424,0.918991,25.7278,46.5,-96.5,799.012,5.05402e+06
6425,0.918991,25.7278,-46.5,-96.5,799.012,5.05482e+06
6426,0.917881,26.4462,48,-96.5,798.048,5.05562e+06
6427,0.917881,26.4462,-48,-96.5,798.048,5.05642e+06
6428,0.916755,27.1557,49.5,-96.5,797.069,5.05722e+06
6429,0.916755,27.1557,-49.5,-96.5,797.069,5.05801e+06
6430,0.915615,27.8563,51,-96.5,796.077,5.05881e+06
6431,0.915615,27.8563,-51,-96.5,796.077,5.05961e+06
6432,0.91446,28.548,52.5,-96.5,795.073,5.0604e+06
6433,0.91446,28.548,-52.5,-96.5,795.073,5.0612e+06
6434,0.913293,29.2307,54,-96.5,794.058,5.06199e+06
6435,0.913293,29.2307,-54,-96.5,794.058,5.06278e+06
6436,0.912114,29.9045,55.5,-96.5,793.033,5.06358e+06
6437,0.912114,29.9045,-55.5,-96.5,793.033,5.06437e+06
6438,0.910925,30.5692,57,-96.5,791.999,5.06516e+06
6439,0.910925,30.5692,-57,-96.5,791.999,5.06595e+06
6440,0.909726,31.225,58.5,-96.5,790.957,5.06674e+06
6441,0.909726,31.225,-58.5,-96.5,790.957,5.06754e+06
6442,0.908519,31.8718,60,-96.5,789.908,5.06833e+06
6443,0.908519,31.8718,-60,-96.5,789.908,5.06912e+06
6444,0.907305,32.5096,61.5,-96.5,788.852,5.0699e+06
6445,0.907305,32.5096,-61.5,-96.5,788.852,5.07069e+06
6446,0.906084,33.1385,63,-96.5,787.791,5.07148e+06
6447,0.906084,33.1385,-63,-96.5,787.791,5.07227e+06
6448,0.904858,33.7585,64.5,-96.5,786.725,5.07306e+06
6449,0.904858,33.7585,-64.5,-96.5,786.725,5.07384e+06
6450,0.903628,34.3697,66,-96.5,785.655,5.07463e+06
6451,0.903628,34.3697,-66,-96.5,785.655,5.07541e+06
6452,0.902393,34.9721,67.5,-96.5,784.582,5.0762e+06
6453,0.902393,34.9721,-67.5,-96.5,784.582,5.07698e+06
6454,0.901156,35.5657,69,-96.5,783.506,5.07777e+06
6455,0.901156,35.5657,-69,-96.5,783.506,5.07855e+06
6456,0.899917,36.1507,70.5,-96.5,782.429,5.07933e+06
6457,0.899917,36.1507,-70.5,-96.5,782.429,5.08011e+06
6458,0.898677,36.7271,72,-96.5,781.35,5.0809e+06
6459,0.898677,36.7271,-72,-96.5,781.35,5.08168e+06
6460,0.897436,37.295,73.5,-96.5,780.271,5.08246e+06
6461,0.897436,37.295,-73.5,-96.5,780.271,5.08324e+06
6462,0.896195,37.8544,75,-96.5,779.192,5.08402e+06
6463,0.896195,37.8544,-75,-96.5,779.192,5.0848e+06
6464,0.938075,0,0,-98,815.605,5.08561e+06
6465,0.938052,0.876926,1.5,-98,815.585,5.08643e+06
6466,0.938052,0.876926,-1.5,-98,815.585,5.08724e+06
6467,0.937984,1.75335,3,-98,815.526,5.08806e+06
6468,0.937984,1.75335,-3,-98,815.526,5.08887e+06
6469,0.93787,2.62912,4.5,-98,815.427,5.08969e+06
6470,0.93787,2.62912,-4.5,-98,815.427,5.0905e+06
6471,0.937711,3.50353,6,-98,815.289,5.09132e+06
6472,0.937711,3.50353,-6,-98,815.289,5.09214e+06
6473,0.937508,4.37632,7.5,-98,815.112,5.09295e+06
6474,0.937508,4.37632,-7.5,-98,815.112,5.09377e+06
6475,0.937259,5.24714,9,-98,814.896,5.09458e+06
6476,0.937259,5.24714,-9,-98,814.896,5.0954e+06
6477,0.936967,6.11552,10.5,-98,814.642,5.09621e+06
6478,0.936967,6.11552,-10.5,-98,814.642,5.09702e+06
6479,0.936632,6.98106,12,-98,814.35,5.09784e+06
6480,0.936632,6.98106,-12,-98,814.35,5.09865e+06
6481,0.936253,7.84343,13.5,-98,814.021,5.09947e+06
6482,0.936253,7.84343,-13.5,-98,814.021,5.10028e+06
6483,0.935832,8.70222,15,-98,813.655,5.1011e+06
6484,0.935832,8.70222,-15,-98,813.655,5.10191e+06
6485,0.93537,9.55712,16.5,-98,813.253,5.10272e+06
6486,0.93537,9.55712,-16.5,-98,813.253,5.10354e+06
6487,0.934867,10.4077,18,-98,812.816,5.10435e+06
6488,0.934867,10.4077,-18,-98,812.816,5.10516e+06
6489,0.934325,11.2537,19.5,-98,812.344,5.10597e+06
6490,0.934325,11.2537,-19.5,-98,812.344,5.10679e+06
6491,0.933743,12.0948,21,-98,811.839,5.1076e+06
6492,0.933743,12.0948,-21,-98,811.839,5.10841e+06
6493,0.933124,12.9305,22.5,-98,811.3,5.10922e+06
6494,0.933124,12.9305,-22.5,-98,811.3,5.11003e+06
6495,0.932468,13.7608,24,-98,810.73,5.11084e+06
6496,0.932468,13.7608,-24,-98,810.73,5.11166e+06
6497,0.931776,14.5852,25.5,-98,810.128,5.11246e+06
6498,0.931776,14.5852,-25.5,-98,810.128,5.11328e+06
6499,0.931049,15.4034,27,-98,809.497,5.11408e+06
6500,0.931049,15.4034,-27,-98,809.497,5.11489e+06
6501,0.930289,16.2153,28.5,-98,808.836,5.1157e+06
6502,0.930289,16.2153,-28.5,-98,808.836,5.11651e+06
6503,0.929497,17.0205,30,-98,808.147,5.11732e+06
6504,0.929497,17.0205,-30,-98,808.147,5.11813e+06
6505,0.928674,17.8189,31.5,-98,807.431,5.11894e+06
6506,0.928674,17.8189,-31.5,-98,807.431,5.11974e+06
6507,0.927821,18.6102,33,-98,806.689,5.12055e+06
6508,0.927821,18.6102,-33,-98,806.689,5.12136e+06
6509,0.926939,19.3941,34.5,-98,805.923,5.12216e+06
6510,0.926939,19.3941,-34.5,-98,805.923,5.12297e+06
6511,0.92603,20.1707,36,-98,805.132,5.12377e+06
6512,0.92603,20.1707,-36,-98,805.132,5.12458e+06
6513,0.925094,20.9395,37.5,-98,804.319,5.12538e+06
6514,0.925094,20.9395,-37.5,-98,804.319,5.12619e+06
6515,0.924134,21.7005,39,-98,803.484,5.12699e+06
6516,0.924134,21.7005,-39,-98,803.484,5.12779e+06
6517,0.92315,22.4536,40.5,-98,802.629,5.1286e+06
6518,0.92315,22.4536,-40.5,-98,802.629,5.1294e+06
6519,0.922144,23.1986,42,-98,801.754,5.1302e+06
6520,0.922144,23.1986,-42,-98,801.754,5.131e+06
6521,0.921116,23.9354,43.5,-98,800.861,5.1318e+06
6522,0.921116,23.9354,-43.5,-98,800.861,5.1326e+06
6523,0.920069,24.6638,45,-98,799.95,5.1334e+06
6524,0.920069,24.6638,-45,-98,799.95,5.1342e+06
6525,0.919003,25.3839,46.5,-98,799.023,5.135e+06
6526,0.919003,25.3839,-46.5,-98,799.023,5.1358e+06
6527,0.91792,26.0954,48,-98,798.081,5.1366e+06
6528,0.91792,26.0954,-48,-98,798.081,5.1374e+06
6529,0.916821,26.7984,49.5,-98,797.126,5.1382e+06
6530,0.916821,26.7984,-49.5,-98,797.126,5.13899e+06
6531,0.915706,27.4928,51,-98,796.156,5.13979e+06
6532,0.915706,27.4928,-51,-98,796.156,5.14058e+06
6533,0.914577,28.1786,52.5,-98,795.175,5.14138e+06
6534,0.914577,28.1786,-52.5,-98,795.175,5.14218e+06
6535,0.913436,28.8557,54,-98,794.183,5.14297e+06
6536,0.913436,28.8557,-54,-98,794.183,5.14376e+06
6537,0.912283,29.524,55.5,-98,793.18,5.14456e+06
6538,0.912283,29.524,-55.5,-98,793.18,5.14535e+06
6539,0.911119,30.1837,57,-98,792.168,5.14614e+06
6540,0.911119,30.1837,-57,-98,792.168,5.14693e+06
6541,0.909946,30.8346,58.5,-98,791.148,5.14772e+06
6542,0.909946,30.8346,-58.5,-98,791.148,5.14852e+06
6543,0.908764,31.4768,60,-98,790.12,5.1493e+06
6544,0.908764,31.4768,-60,-98,790.12,5.1501e+06
6545,0.907574,32.1104,61.5,-98,789.086,5.15088e+06
6546,0.907574,32.1104,-61.5,-98,789.086,5.15167e+06
6547,0.906377,32.7352,63,-98,788.046,5.15246e+06
6548,0.906377,32.7352,-63,-98,788.046,5.15325e+06
6549,0.905175,33.3514,64.5,-98,787,5.15404e+06
6550,0.905175,33.3514,-64.5,-98,787,5.15482e+06
6551,0.903968,33.9591,66,-98,785.951,5.15561e+06
6552,0.903968,33.9591,-66,-98,785.951,5.1564e+06
6553,0.902756,34.5581,67.5,-98,784.897,5.15718e+06
6554,0.902756,34.5581,-67.5,-98,784.897,5.15796e+06
6555,0.901542,35.1487,69,-98,783.841,5.15875e+06
6556,0.901542,35.1487,-69,-98,783.841,5.15953e+06
6557,0.900325,35.7308,70.5,-98,782.783,5.16032e+06
6558,0.900325,35.7308,-70.5,-98,782.783,5.1611e+06
