x_pos;power
-45.6008;473.256
-45.5008;473.307
-45.4008;473.358
-45.3008;473.409
-45.2008;473.461
-45.1008;473.513
-45.0008;473.564
-44.9008;473.616
-44.8008;473.669
-44.7008;473.721
-44.6008;473.774
-44.5008;473.827
-44.4008;473.88
-44.3008;473.933
-44.2009;473.987
-44.1009;474.04
-44.0009;474.094
-43.9009;474.149
-43.8009;474.203
-43.7009;474.258
-43.6009;474.312
-43.5009;474.368
-43.4009;474.423
-43.3009;474.479
-43.2009;474.534
-43.1009;474.59
-43.0009;474.647
-42.9009;474.703
-42.8009;474.76
-42.7009;474.817
-42.6009;474.874
-42.5009;474.931
-42.4009;474.989
-42.3009;475.047
-42.2009;475.105
-42.1009;475.164
-42.0009;475.222
-41.9009;475.281
-41.8009;475.34
-41.7009;475.4
-41.6009;475.46
-41.5009;475.519
-41.4009;475.58
-41.3009;475.64
-41.2009;475.701
-41.1009;475.762
-41.0009;475.823
-40.9009;475.885
-40.8009;475.946
-40.7009;476.008
-40.6009;476.071
-40.5009;476.133
-40.4009;476.196
-40.3009;476.259
-40.2009;476.323
-40.1009;476.386
-40.0009;476.45
-39.9009;476.515
-39.8009;476.579
-39.7009;476.644
-39.6009;476.709
-39.5009;476.775
-39.4009;476.84
-39.3009;476.906
-39.2009;476.973
-39.1009;477.039
-39.0009;477.106
-38.9009;477.173
-38.8009;477.241
-38.7009;477.309
-38.6009;477.377
-38.5009;477.445
-38.4009;477.514
-38.3009;477.583
-38.2009;477.652
-38.1009;477.722
-38.0009;477.792
-37.9009;477.863
-37.8009;477.933
-37.701;478.004
-37.601;478.076
-37.501;478.147
-37.401;478.219
-37.301;478.292
-37.201;478.364
-37.101;478.437
-37.001;478.511
-36.901;478.584
-36.801;478.658
-36.701;478.733
-36.601;478.807
-36.501;478.883
-36.401;478.958
-36.301;479.034
-36.201;479.11
-36.101;479.187
-36.001;479.264
-35.901;479.341
-35.801;479.418
-35.701;479.497
-35.601;479.575
-35.501;479.654
-35.401;479.733
-35.301;479.812
-35.201;479.892
-35.101;479.973
-35.001;480.053
-34.901;480.135
-34.801;480.216
-34.701;480.298
-34.601;480.38
-34.501;480.463
-34.401;480.546
-34.301;480.63
-34.201;480.714
-34.101;480.798
-34.001;480.883
-33.901;480.968
-33.801;481.054
-33.701;481.14
-33.601;481.227
-33.501;481.314
-33.401;481.401
-33.301;481.489
-33.201;481.577
-33.101;481.666
-33.001;481.755
-32.901;481.845
-32.801;481.935
-32.701;482.026
-32.601;482.117
-32.501;482.208
-32.401;482.3
-32.301;482.393
-32.201;482.486
-32.101;482.579
-32.001;482.673
-31.901;482.768
-31.801;482.863
-31.701;482.958
-31.601;483.054
-31.501;483.15
-31.401;483.247
-31.301;483.345
-31.201;483.443
-31.101;483.541
-31.001;483.64
-30.901;483.74
-30.801;483.84
-30.701;483.941
-30.601;484.042
-30.501;484.144
-30.401;484.246
-30.301;484.349
-30.201;484.452
-30.101;484.556
-30.001;484.661
-29.901;484.766
-29.801;484.871
-29.701;484.978
-29.601;485.084
-29.501;485.192
-29.401;485.3
-29.301;485.408
-29.201;485.518
-29.101;485.627
-29.001;485.738
-28.901;485.849
-28.801;485.961
-28.701;486.073
-28.601;486.186
-28.501;486.299
-28.401;486.414
-28.301;486.528
-28.201;486.644
-28.101;486.76
-28.001;486.877
-27.901;486.994
-27.801;487.112
-27.701;487.231
-27.601;487.351
-27.501;487.471
-27.401;487.592
-27.301;487.713
-27.201;487.836
-27.101;487.959
-27.001;488.083
-26.901;488.207
-26.801;488.332
-26.701;488.458
-26.601;488.585
-26.501;488.712
-26.401;488.84
-26.301;488.969
-26.201;489.099
-26.101;489.229
-26.001;489.36
-25.901;489.492
-25.801;489.625
-25.701;489.759
-25.601;489.893
-25.501;490.028
-25.401;490.164
-25.301;490.301
-25.201;490.439
-25.101;490.577
-25.001;490.716
-24.901;490.857
-24.801;490.998
-24.701;491.139
-24.601;491.282
-24.501;491.426
-24.401;491.57
-24.301;491.716
-24.201;491.862
-24.101;492.009
-24.001;492.157
-23.901;492.306
-23.801;492.456
-23.701;492.607
-23.601;492.759
-23.501;492.912
-23.401;493.065
-23.301;493.22
-23.201;493.376
-23.101;493.532
-23.001;493.69
-22.901;493.848
-22.801;494.008
-22.701;494.169
-22.601;494.33
-22.501;494.493
-22.401;494.657
-22.301;494.822
-22.201;494.987
-22.101;495.154
-22.001;495.322
-21.901;495.491
