xpos;power;ReflPercent
-70.6004;794.677;73.3043
-70.5005;794.715;73.3078
-70.4005;794.754;73.3114
-70.3005;794.792;73.3149
-70.2005;794.831;73.3185
-70.1005;794.87;73.3221
-70.0005;794.909;73.3257
-69.9005;794.948;73.3293
-69.8005;794.987;73.3329
-69.7005;795.026;73.3365
-69.6005;795.065;73.3401
-69.5005;795.105;73.3438
-69.4005;795.144;73.3474
-69.3005;795.184;73.3511
-69.2005;795.224;73.3548
-69.1005;795.264;73.3584
-69.0005;795.304;73.3621
-68.9005;795.344;73.3658
-68.8005;795.384;73.3695
-68.7005;795.424;73.3733
-68.6005;795.465;73.377
-68.5005;795.505;73.3807
-68.4005;795.546;73.3845
-68.3005;795.587;73.3882
-68.2005;795.628;73.392
-68.1005;795.669;73.3958
-68.0005;795.71;73.3996
-67.9005;795.751;73.4034
-67.8005;795.793;73.4072
-67.7005;795.834;73.411
-67.6005;795.876;73.4149
-67.5005;795.917;73.4187
-67.4005;795.959;73.4226
-67.3005;796.001;73.4265
-67.2005;796.043;73.4303
-67.1005;796.085;73.4342
-67.0005;796.128;73.4381
-66.9005;796.17;73.4421
-66.8005;796.213;73.446
-66.7005;796.255;73.4499
-66.6005;796.298;73.4538
-66.5005;796.341;73.4578
-66.4005;796.384;73.4618
-66.3005;796.427;73.4658
-66.2005;796.471;73.4698
-66.1005;796.514;73.4738
-66.0005;796.557;73.4778
-65.9005;796.601;73.4818
-65.8005;796.645;73.4858
-65.7005;796.689;73.4899
-65.6005;796.733;73.4939
-65.5005;796.777;73.498
-65.4005;796.821;73.5021
-65.3005;796.866;73.5062
-65.2005;796.91;73.5103
-65.1005;796.955;73.5144
-65.0005;797;73.5186
-64.9005;797.045;73.5227
-64.8005;797.09;73.5269
-64.7005;797.135;73.531
-64.6005;797.18;73.5352
-64.5005;797.226;73.5394
-64.4005;797.271;73.5436
-64.3005;797.317;73.5478
-64.2005;797.363;73.5521
-64.1005;797.409;73.5563
-64.0005;797.455;73.5606
-63.9006;797.501;73.5649
-63.8006;797.548;73.5691
-63.7006;797.594;73.5734
-63.6006;797.641;73.5777
-63.5006;797.688;73.582
-63.4006;797.735;73.5864
-63.3006;797.782;73.5907
-63.2006;797.829;73.5951
-63.1006;797.877;73.5995
-63.0006;797.924;73.6039
-62.9006;797.972;73.6082
-62.8006;798.02;73.6127
-62.7006;798.068;73.6171
-62.6006;798.116;73.6215
-62.5006;798.164;73.626
-62.4006;798.212;73.6304
-62.3006;798.261;73.6349
-62.2006;798.31;73.6394
-62.1006;798.359;73.6439
-62.0006;798.407;73.6484
-61.9006;798.457;73.653
-61.8006;798.506;73.6575
-61.7006;798.555;73.6621
-61.6006;798.605;73.6666
-61.5006;798.655;73.6712
-61.4006;798.705;73.6758
-61.3006;798.755;73.6805
-61.2006;798.805;73.6851
-61.1006;798.855;73.6897
-61.0006;798.906;73.6944
-60.9006;798.956;73.6991
-60.8006;799.007;73.7038
-60.7006;799.058;73.7085
-60.6006;799.109;73.7132
-60.5006;799.161;73.7179
-60.4006;799.212;73.7226
-60.3006;799.264;73.7274
-60.2006;799.315;73.7322
-60.1006;799.367;73.737
-60.0006;799.419;73.7418
-59.9006;799.472;73.7466
-59.8006;799.524;73.7514
-59.7006;799.577;73.7563
-59.6006;799.63;73.7612
-59.5006;799.682;73.766
-59.4006;799.736;73.7709
-59.3006;799.789;73.7759
-59.2006;799.842;73.7808
-59.1006;799.896;73.7857
-59.0006;799.95;73.7907
-58.9006;800.004;73.7957
-58.8006;800.058;73.8007
-58.7006;800.112;73.8057
-58.6006;800.167;73.8107
-58.5006;800.221;73.8157
-58.4006;800.276;73.8208
-58.3006;800.331;73.8259
-58.2006;800.386;73.8309
-58.1006;800.442;73.8361
-58.0006;800.497;73.8412
-57.9006;800.553;73.8463
-57.8006;800.609;73.8515
-57.7006;800.665;73.8567
-57.6006;800.721;73.8618
-57.5006;800.777;73.867
-57.4007;800.834;73.8723
-57.3007;800.891;73.8775
-57.2007;800.948;73.8828
-57.1007;801.005;73.888
-57.0007;801.062;73.8933
-56.9007;801.12;73.8986
-56.8007;801.178;73.904
-56.7007;801.236;73.9093
-56.6007;801.294;73.9147
-56.5007;801.352;73.92
-56.4007;801.411;73.9254
-56.3007;801.469;73.9308
-56.2007;801.528;73.9363
-56.1007;801.587;73.9417
-56.0007;801.647;73.9472
-55.9007;801.706;73.9527
-55.8007;801.766;73.9582
-55.7007;801.826;73.9637
-55.6007;801.886;73.9693
-55.5007;801.946;73.9748
-55.4007;802.006;73.9804
-55.3007;802.067;73.986
-55.2007;802.128;73.9916
-55.1007;802.189;73.9973
-55.0007;802.25;74.0029
-54.9007;802.312;74.0086
-54.8007;802.374;74.0143
-54.7007;802.436;74.02
-54.6007;802.498;74.0257
-54.5007;802.56;74.0315
-54.4007;802.623;74.0373
-54.3007;802.686;74.0431
-54.2007;802.749;74.0489
-54.1007;802.812;74.0547
-54.0007;802.875;74.0605
-53.9007;802.939;74.0664
-53.8007;803.003;74.0723
-53.7007;803.067;74.0782
-53.6007;803.131;74.0842
-53.5007;803.196;74.0901
-53.4007;803.26;74.0961
-53.3007;803.325;74.1021
-53.2007;803.391;74.1081
-53.1007;803.456;74.1141
-53.0007;803.522;74.1202
-52.9007;803.588;74.1263
-52.8007;803.654;74.1324
-52.7007;803.72;74.1385
-52.6007;803.787;74.1446
-52.5007;803.854;74.1508
-52.4007;803.921;74.157
-52.3007;803.988;74.1632
-52.2007;804.056;74.1694
-52.1007;804.123;74.1757
-52.0007;804.191;74.182
-51.9007;804.26;74.1883
-51.8007;804.328;74.1946
-51.7007;804.397;74.2009
-51.6007;804.466;74.2073
-51.5007;804.535;74.2137
-51.4007;804.605;74.2201
-51.3007;804.674;74.2265
-51.2007;804.745;74.233
-51.1007;804.815;74.2395
-51.0007;804.885;74.246
-50.9007;804.956;74.2525
-50.8008;805.027;74.259
-50.7008;805.098;74.2656
-50.6008;805.17;74.2722
-50.5008;805.242;74.2788
-50.4008;805.314;74.2855
-50.3008;805.386;74.2922
-50.2008;805.459;74.2989
-50.1008;805.532;74.3056
-50.0008;805.605;74.3123
-49.9008;805.678;74.3191
-49.8008;805.752;74.3259
-49.7008;805.826;74.3327
-49.6008;805.9;74.3396
-49.5008;805.974;74.3464
-49.4008;806.049;74.3533
-49.3008;806.124;74.3603
-49.2008;806.2;74.3672
-49.1008;806.275;74.3742
-49.0008;806.351;74.3812
-48.9008;806.427;74.3882
-48.8008;806.504;74.3953
-48.7008;806.58;74.4023
-48.6008;806.657;74.4094
-48.5008;806.735;74.4166
-48.4008;806.812;74.4237
-48.3008;806.89;74.4309
-48.2008;806.969;74.4381
-48.1008;807.047;74.4454
-48.0008;807.126;74.4527
-47.9008;807.205;74.4599
-47.8008;807.284;74.4673
-47.7008;807.364;74.4746
-47.6008;807.444;74.482
-47.5008;807.524;74.4894
