HORALOCAL;J;POWER;ReflecPercent;ZEN;AZIM;Sz
16.56;806.477;675.317;83.7367;1.3359;-1.14425;0.232745
16.64;784.08;655.148;83.5564;1.35397;-1.1529;0.21513
16.72;759.272;633.037;83.3743;1.37211;-1.16137;0.197377
16.8;731.661;608.672;83.1904;1.39032;-1.16965;0.179495
16.88;700.769;581.672;83.0049;1.4086;-1.17777;0.16149
16.96;665.989;551.557;82.8178;1.42693;-1.18571;0.143371
17.04;626.575;517.733;82.6292;1.44532;-1.1935;0.125146
17.12;581.554;479.427;82.4391;1.46377;-1.20113;0.106823
17.2;529.618;435.598;82.2476;1.48227;-1.20861;0.088409
17.28;468.784;384.66;82.0548;1.50083;-1.21595;0.0699132
17.36;395.258;323.562;81.8609;1.51943;-1.22315;0.0513431
17.44;299.094;244.258;81.6657;1.53808;-1.23021;0.0327073
17.52;148.925;121.329;81.4695;1.55678;-1.23715;0.0140139
