altitude;J;Percent_transm
582;36.7008;100.22
583;36.7009;100.22
584;36.701;100.221
585;36.7011;100.221
586;36.7013;100.222
587;36.7014;100.222
588;36.7016;100.222
589;36.7017;100.223
590;36.7018;100.223
591;36.702;100.223
592;36.7021;100.224
593;36.7023;100.224
594;36.7024;100.225
595;36.7025;100.225
596;36.7027;100.225
597;36.7028;100.226
598;36.7029;100.226
599;36.7031;100.226
600;36.7032;100.227
601;36.7033;100.227
602;36.7034;100.227
603;36.7036;100.228
604;36.7037;100.228
605;36.7039;100.229
606;36.704;100.229
607;36.7041;100.229
608;36.7043;100.23
609;36.7044;100.23
610;36.7045;100.23
611;36.7046;100.231
612;36.7048;100.231
613;36.7049;100.231
614;36.7051;100.232
615;36.7052;100.232
616;36.7054;100.233
617;36.7055;100.233
618;36.7056;100.233
619;36.7058;100.234
620;36.7059;100.234
621;36.706;100.234
622;36.7061;100.235
623;36.7063;100.235
624;36.7064;100.236
625;36.7065;100.236
626;36.7066;100.236
627;36.7068;100.237
628;36.7069;100.237
629;36.7071;100.237
630;36.7072;100.238
631;36.7073;100.238
632;36.7075;100.238
633;36.7076;100.239
634;36.7077;100.239
635;36.7079;100.24
636;36.708;100.24
637;36.7081;100.24
638;36.7083;100.241
639;36.7084;100.241
640;36.7085;100.241
641;36.7087;100.242
642;36.7088;100.242
643;36.7089;100.242
644;36.7091;100.243
645;36.7092;100.243
646;36.7093;100.243
647;36.7094;100.244
648;36.7096;100.244
649;36.7097;100.244
650;36.7098;100.245
651;36.71;100.245
652;36.7101;100.246
653;36.7103;100.246
654;36.7104;100.246
655;36.7106;100.247
656;36.7107;100.247
657;36.7108;100.248
658;36.7109;100.248
659;36.7111;100.248
660;36.7112;100.249
661;36.7113;100.249
662;36.7115;100.249
663;36.7116;100.25
664;36.7117;100.25
665;36.7119;100.25
666;36.712;100.251
667;36.7121;100.251
668;36.7122;100.251
669;36.7124;100.252
670;36.7125;100.252
671;36.7127;100.253
672;36.7128;100.253
673;36.7129;100.253
674;36.7131;100.254
675;36.7132;100.254
676;36.7134;100.254
677;36.7135;100.255
678;36.7136;100.255
679;36.7138;100.256
680;36.7139;100.256
681;36.714;100.256
682;36.7141;100.257
683;36.7143;100.257
684;36.7144;100.257
685;36.7145;100.258
686;36.7146;100.258
687;36.7148;100.258
688;36.7149;100.259
689;36.715;100.259
690;36.7152;100.259
691;36.7153;100.26
692;36.7154;100.26
693;36.7155;100.26
694;36.7157;100.261
695;36.7158;100.261
696;36.716;100.262
697;36.7161;100.262
698;36.7163;100.262
699;36.7164;100.263
700;36.7165;100.263
701;36.7167;100.264
702;36.7168;100.264
703;36.7169;100.264
704;36.7171;100.265
705;36.7172;100.265
706;36.7173;100.265
707;36.7175;100.266
708;36.7176;100.266
709;36.7177;100.266
710;36.7178;100.267
711;36.718;100.267
712;36.7181;100.267
713;36.7183;100.268
714;36.7184;100.268
715;36.7185;100.269
716;36.7186;100.269
717;36.7188;100.269
718;36.7189;100.27
719;36.719;100.27
720;36.7192;100.27
721;36.7193;100.271
722;36.7194;100.271
723;36.7196;100.271
724;36.7197;100.272
725;36.7198;100.272
726;36.72;100.273
727;36.7201;100.273
728;36.7202;100.273
729;36.7204;100.274
730;36.7205;100.274
731;36.7206;100.274
732;36.7207;100.275
733;36.7209;100.275
734;36.721;100.275
735;36.7211;100.276
736;36.7213;100.276
737;36.7214;100.276
738;36.7215;100.277
739;36.7217;100.277
740;36.7218;100.278
741;36.7219;100.278
742;36.7221;100.278
743;36.7222;100.279
744;36.7224;100.279
745;36.7225;100.279
746;36.7226;100.28
747;36.7228;100.28
748;36.7229;100.281
749;36.723;100.281
750;36.7232;100.281
751;36.7233;100.282
752;36.7235;100.282
753;36.7236;100.282
754;36.7237;100.283
755;36.7239;100.283
756;36.724;100.284
757;36.7241;100.284
758;36.7243;100.284
759;36.7244;100.285
760;36.7245;100.285
761;36.7247;100.285
762;36.7248;100.286
763;36.725;100.286
764;36.7251;100.287
765;36.7252;100.287
766;36.7254;100.287
767;36.7255;100.288
768;36.7257;100.288
769;36.7258;100.288
770;36.7259;100.289
771;36.726;100.289
772;36.7262;100.289
773;36.7263;100.29
774;36.7264;100.29
775;36.7266;100.291
776;36.7267;100.291
777;36.7268;100.291
778;36.727;100.292
779;36.7271;100.292
780;36.7272;100.292
781;36.7274;100.293
782;36.7275;100.293
783;36.7276;100.293
784;36.7277;100.294
785;36.7279;100.294
786;36.728;100.294
787;36.7281;100.295
788;36.7283;100.295
789;36.7284;100.296
790;36.7286;100.296
791;36.7287;100.296
792;36.7288;100.297
793;36.729;100.297
794;36.7291;100.297
795;36.7292;100.298
796;36.7293;100.298
797;36.7295;100.299
798;36.7296;100.299
799;36.7297;100.299
800;36.7299;100.3
801;36.73;100.3
802;36.7302;100.3
803;36.7303;100.301
804;36.7304;100.301
805;36.7305;100.301
806;36.7307;100.302
807;36.7308;100.302
808;36.7309;100.303
809;36.7311;100.303
810;36.7312;100.303
811;36.7313;100.304
812;36.7315;100.304
813;36.7316;100.304
814;36.7317;100.305
815;36.7318;100.305
816;36.732;100.305
817;36.7321;100.306
818;36.7322;100.306
819;36.7324;100.306
820;36.7325;100.307
821;36.7327;100.307
822;36.7328;100.307
823;36.7329;100.308
824;36.733;100.308
825;36.7332;100.309
826;36.7333;100.309
827;36.7334;100.309
828;36.7336;100.31
829;36.7337;100.31
830;36.7338;100.31
831;36.734;100.311
832;36.7341;100.311
833;36.7343;100.312
834;36.7344;100.312
835;36.7345;100.312
836;36.7347;100.313
837;36.7348;100.313
838;36.7349;100.313
839;36.7351;100.314
840;36.7352;100.314
841;36.7353;100.314
842;36.7354;100.315
843;36.7356;100.315
844;36.7357;100.316
845;36.7358;100.316
846;36.736;100.316
847;36.7361;100.317
848;36.7362;100.317
849;36.7364;100.317
850;36.7365;100.318
851;36.7366;100.318
852;36.7368;100.318
853;36.7369;100.319
854;36.737;100.319
855;36.7372;100.319
856;36.7373;100.32
857;36.7374;100.32
858;36.7375;100.321
859;36.7377;100.321
860;36.7378;100.321
861;36.7379;100.322
862;36.7381;100.322
863;36.7382;100.322
864;36.7383;100.323
865;36.7385;100.323
